datetime,A,B,C,D,E,F,G,H,I,J,K,L,M
2024-09-04,5507.052948735595,0.0,234.9821785714313,3.0,0.0,10.0,105.79050000000461,105.79050000000461,13.0,105.79050000000461,1e+100,105.79050000000461,1e+100
2024-09-05,5648.86261932782,1.0,185.36458214285975,3.0,0.0,10.0,87.06250000000455,87.06250000000455,13.0,87.06250000000455,1e+100,87.06250000000455,1e+100
2024-09-06,5558.585488361429,1.0,123.68111428571703,3.0,0.0,10.0,-17.61349999999493,-17.61349999999493,12.0,-17.61349999999493,12.0,-17.61349999999493,1e+100
2024-09-09,5558.585488361429,1.0,75.00138928571685,3.0,0.0,10.0,36.44550000000527,36.44550000000527,13.0,36.44550000000527,1e+100,36.44550000000527,1e+100
2024-09-10,5556.76247824619,1.0,28.039464285716917,3.0,0.0,10.0,52.140000000004875,52.140000000004875,13.0,52.140000000004875,1e+100,52.140000000004875,1e+100
2024-09-11,5556.76247824619,1.0,0.5592000000025621,3.0,0.0,9.0,103.0850000000055,103.0850000000055,11.0,103.0850000000055,1e+100,103.0850000000055,11.0
2024-09-12,5440.781188382814,0.0,-16.815407142854866,4.0,0.0,9.0,135.2280000000046,135.2280000000046,11.0,135.2280000000046,1e+100,135.2280000000046,1e+100
2024-09-13,5474.737628963674,0.0,-19.191603571426384,4.0,0.0,9.0,161.99300000000585,161.99300000000585,11.0,161.99300000000585,1e+100,161.99300000000585,1e+100
2024-09-16,5486.21924751549,0.0,-18.440378571426407,5.0,0.0,9.0,161.80000000000473,161.80000000000473,11.0,161.80000000000473,1e+100,161.80000000000473,1e+100
2024-09-17,5489.376285139715,0.0,-12.445292857140998,5.0,0.0,9.0,148.19800000000487,148.19800000000487,11.0,148.19800000000487,1e+100,148.19800000000487,1e+100
2024-09-18,5489.376285139715,0.0,-9.984124999998187,5.0,0.0,9.0,114.74900000000525,114.74900000000525,11.0,114.74900000000525,1e+100,114.74900000000525,1e+100
2024-09-19,5563.987022338592,0.0,11.40028571428735,2.0,0.0,9.0,196.14700000000448,196.14700000000448,11.0,196.14700000000448,1e+100,196.14700000000448,11.0
2024-09-20,5567.405171221663,0.0,25.538207142858752,2.0,0.0,10.0,169.8415000000041,169.8415000000041,11.0,169.8415000000041,1e+100,169.8415000000041,1e+100
